"Time","sum(rate(besu_blockchain_chain_head_transaction_count{job=""besu""}[5m]))"
2024-05-24 04:51:00,0.0138
2024-05-24 04:51:15,0.0103
2024-05-24 04:51:30,0.0103
2024-05-24 04:51:45,0.0103
2024-05-24 04:52:00,0.00690
2024-05-24 04:52:15,0.00349
2024-05-24 04:52:30,0
2024-05-24 04:52:45,0.00345
2024-05-24 04:53:00,0.00345
2024-05-24 04:53:15,0.00687
2024-05-24 04:53:30,0.0103
2024-05-24 04:53:45,0.0138
2024-05-24 04:54:00,0.0138
2024-05-24 04:54:15,0.0138
2024-05-24 04:54:30,0.0138
2024-05-24 04:54:45,0.0138
2024-05-24 04:55:00,0.0138
2024-05-24 04:55:15,0.0138
2024-05-24 04:55:30,0.0138
2024-05-24 04:55:45,0.0138
2024-05-24 04:56:00,0.0138
