"Time","{__name__=""besu_blockchain_chain_head_gas_used"", instance=""localhost:9545"", job=""besu""}"
2024-05-24 04:21:30,0
2024-05-24 04:21:45,0
2024-05-24 04:22:00,0
2024-05-24 04:22:15,0
2024-05-24 04:22:30,0
2024-05-24 04:22:45,0
2024-05-24 04:23:00,0
2024-05-24 04:23:15,0
2024-05-24 04:23:30,0
2024-05-24 04:23:45,0
2024-05-24 04:24:00,0
2024-05-24 04:24:15,0
2024-05-24 04:24:30,0
2024-05-24 04:24:45,0
2024-05-24 04:25:00,0
2024-05-24 04:25:15,0
2024-05-24 04:25:30,0
2024-05-24 04:25:45,0
2024-05-24 04:26:00,0
2024-05-24 04:26:15,0
2024-05-24 04:26:30,0
